Age,Occupation_technician,Occupation_admin.,Occupation_blue-collar,Occupation_services,Occupation_housemaid,Occupation_management,Occupation_entrepreneur,Occupation_student,Occupation_retired,Occupation_unemployed,Occupation_self-employed,Marital Status_married,Marital Status_divorced,Marital Status_single,Marital Status_unknown,Education Level,Credit Default_no,Credit Default_unknown,Credit Default_yes,Housing Loan_no,Housing Loan_yes,Personal Loan_yes,Personal Loan_no,Contact Method_Cell,Contact Method_telephone,Contact Method_cellular,Contact Method_Telephone,Campaign Calls,Previous Contact Days,Subscription Status
0.3007518796992481,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,1,0,1,0,0,0,0.0,999,no
0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,1,0,1,0,0,0.01818181818181818,999,no
0.12030075187969924,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,1,0,0.0,999,no
0.14285714285714285,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,0,1,0.05454545454545454,999,no
0.23308270676691728,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,1,0,0,0,1,0.0,999,no
0.9999999999999998,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,1,1,0,1,0,0,0,0.10909090909090907,999,no
0.14285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,1,0,1,0,0,0,0.05454545454545454,999,no
0.18796992481203006,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0.03636363636363636,999,no
0.9999999999999998,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,1,1,0,0,0,0.03636363636363636,999,yes
0.14285714285714285,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,1,0,0,0,1,0.0,999,no
0.06766917293233082,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,1,0,0,1,0,0.01818181818181818,999,no
0.21804511278195488,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,1,0,1,0,0,1,0,0.0,999,yes
0.2556390977443609,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0.0,999,no
0.09774436090225563,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,1,0,0,1,0,0.19999999999999998,999,no
0.3909774436090226,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,1,0,0,1,0,0.01818181818181818,999,yes
0.12030075187969924,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,1,0,1,1,0,0,0,0.0,999,no
0.12030075187969924,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,1,0,1,0,0,0,0.0,999,no
0.09774436090225563,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0.01818181818181818,999,no
0.09774436090225563,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,1,1,0,0,0,0.07272727272727272,999,no
0.06015037593984962,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,1,0,1,0,0,1,0,0.0,3,yes
0.09774436090225563,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,1,0,1,0,0,0,1,0.03636363636363636,999,no
0.21052631578947367,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0.0,999,no
0.21052631578947367,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0.0,999,no
0.20300751879699247,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,1,0,1,0,0,1,0,0.14545454545454545,999,no
0.05263157894736842,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,1,0,1,0,0,0.03636363636363636,999,no
